,Team ID,Week,Matchup_ID,Home/Away,Total pts,QB,RB1,RB2,WR1,WR2,TE,RB/WR/TE,D/ST,HC
 JNCO JEAN GENIE ,3,1,0,Home,78.02,"['Deshaun Watson', 'QB', 20.82]","['Melvin Gordon III', 'RB', 14.1]","['Mark Ingram II', 'RB', 2.9]","['Chris Godwin', 'WR', 10.9]","['Terry McLaurin', 'WR', 8.6]","['Evan Engram', 'TE', 1.9]","['Cam Akers', 'RB/WR/TE', 4.8]","['Rams D/ST', 'D/ST', 4.0]","['Ravens Coach', 'HC', 10.0]"
Landslide lets  Russell Cook ,4,1,0,Away,110.28,"['Russell Wilson', 'QB', 31.78]","['Christian McCaffrey', 'RB', 27.0]","['Nick Chubb', 'RB', 5.1]","['DK Metcalf', 'WR', 17.5]","['Will Fuller V', 'WR', 15.2]","['Rob Gronkowski', 'TE', 2.1]","['Jerry Jeudy', 'RB/WR/TE', 7.6]","['49ers D/ST', 'D/ST', 4.0]","['Eagles Coach', 'HC', 0.0]"
Big Maliggy Style,2,1,1,Home,95.1,"['Lamar Jackson', 'QB', 27.5]","['Todd Gurley II', 'RB', 12.7]","['Devin Singletary', 'RB', 7.8]","['Robert Woods', 'WR', 14.9]","['Stefon Diggs', 'WR', 12.6]","['George Kittle', 'TE', 7.3]","['Zach Ertz', 'RB/WR/TE', 9.3]","['Buccaneers D/ST', 'D/ST', 3.0]","['Buccaneers Coach', 'HC', 0.0]"
Sausage Brainᴿᴰ,7,1,1,Away,80.8,"['Jared Goff', 'QB', 10.5]","['Kenyan Drake', 'RB', 13.5]","['Derrick Henry', 'RB', 14.6]","['A.J. Brown', 'WR', 6.4]","['DJ Chark Jr.', 'WR', 10.0]","['Blake Jarwin', 'TE', 1.7]","['Raheem Mostert', 'RB/WR/TE', 23.1]","['Vikings D/ST', 'D/ST', 0.0]","['Titans Coach', 'HC', 1.0]"
INTERGALACTIC SEX-MEN ᴿᴰ,10,1,2,Home,94.8,"['Cam Newton', 'QB', 25.7]","['Joe Mixon', 'RB', 5.6]","['Zack Moss', 'RB', 10.2]","['Odell Beckham Jr.', 'WR', 3.7]","['Allen Robinson II', 'WR', 9.8]","['Noah Fant', 'TE', 16.6]","['Tyler Lockett', 'RB/WR/TE', 13.2]","['Bills D/ST', 'D/ST', 10.0]","['Colts Coach', 'HC', 0.0]"
Thigpen's Awakening ᴿᴰ,8,1,2,Away,162.1,"['Kyler Murray', 'QB', 26.3]","['Josh Jacobs', 'RB', 33.9]","['Kareem Hunt', 'RB', 10.1]","['JuJu Smith-Schuster', 'WR', 21.9]","['Calvin Ridley', 'WR', 29.4]","['Hayden Hurst', 'TE', 5.3]","['Ezekiel Elliott', 'RB/WR/TE', 26.2]","['Eagles D/ST', 'D/ST', 5.0]","['Steelers Coach', 'HC', 4.0]"
RIGGED PLAYOFFS!!,1,1,3,Home,93.96,"['Ben Roethlisberger', 'QB', 22.06]","['Leonard Fournette', 'RB', 2.4]","['Jonathan Taylor', 'RB', 11.9]","['Michael Thomas', 'WR', 3.2]","['Amari Cooper', 'WR', 13.1]","['T.J. Hockenson', 'TE', 14.1]","['Julio Jones', 'RB/WR/TE', 20.2]","['Cowboys D/ST', 'D/ST', 3.0]","['Seahawks Coach', 'HC', 4.0]"
Dumpster Juice,12,1,3,Away,80.66,"['Tom Brady', 'QB', 20.46]","['Saquon Barkley', 'RB', 9.6]","['David Johnson', 'RB', 18.4]","['Courtland Sutton', 'WR', 0.0]","['Mike Evans', 'WR', 6.7]","['Tyler Higbee', 'TE', 5.5]","['Cooper Kupp', 'RB/WR/TE', 6.0]","['Steelers D/ST', 'D/ST', 10.0]","['Patriots Coach', 'HC', 4.0]"
Tub Girl's Tub Scrubbers,5,1,4,Home,104.4,"['Matt Ryan', 'QB', 23.9]","['Dalvin Cook', 'RB', 21.3]","['Austin Ekeler', 'RB', 9.2]","['DeAndre Hopkins', 'WR', 22.1]","['Diontae Johnson', 'WR', 6.7]","['Darren Waller', 'TE', 7.5]","['Sterling Shepard', 'RB/WR/TE', 7.7]","['Colts D/ST', 'D/ST', 6.0]","['Cowboys Coach', 'HC', 0.0]"
The Brussell Wilson Sprouts,11,1,4,Away,94.74,"['Patrick Mahomes', 'QB', 20.44]","['Chris Carson', 'RB', 21.6]","['James Conner', 'RB', 2.7]","['Tyreek Hill', 'WR', 13.1]","['DeSean Jackson', 'WR', 5.6]","['Travis Kelce', 'TE', 14.0]","['Tyler Boyd', 'RB/WR/TE', 5.3]","['Patriots D/ST', 'D/ST', 12.0]","['49ers Coach', 'HC', 0.0]"
Inhumane Texan Koch’n,9,1,5,Home,155.08,"['Josh Allen', 'QB', 28.18]","['Alvin Kamara', 'RB', 21.2]","['Clyde Edwards-Helaire', 'RB', 19.8]","['Davante Adams', 'WR', 34.6]","['Anthony Miller', 'WR', 15.6]","['Dallas Goedert', 'TE', 20.1]","[""Le'Veon Bell"", 'RB/WR/TE', 5.6]","['Chiefs D/ST', 'D/ST', 6.0]","['Bills Coach', 'HC', 4.0]"
Attorney Generals,6,1,5,Away,124.34,"['Dak Prescott', 'QB', 17.64]","['Aaron Jones', 'RB', 15.6]","['Marlon Mack', 'RB', 7.1]","['Adam Thielen', 'WR', 28.0]","['DJ Moore', 'WR', 7.4]","['Mark Andrews', 'TE', 20.3]","['T.Y. Hilton', 'RB/WR/TE', 7.3]","['Saints D/ST', 'D/ST', 17.0]","['Chiefs Coach', 'HC', 4.0]"
Sausage Brainᴿᴰ,7,2,0,Home,91.36,"['Ryan Tannehill', 'QB', 26.76]","['Kenyan Drake', 'RB', 10.5]","['Derrick Henry', 'RB', 8.4]","['DJ Chark Jr.', 'WR', 10.4]","['Marvin Jones Jr.', 'WR', 10.3]","['Jimmy Graham', 'TE', 2.3]","['Raheem Mostert', 'RB/WR/TE', 17.7]","['Vikings D/ST', 'D/ST', 4.0]","['Titans Coach', 'HC', 1.0]"
Dumpster Juice,12,2,0,Away,82.28,"['Tom Brady', 'QB', 8.68]","['Saquon Barkley', 'RB', 2.8]","['David Johnson', 'RB', 6.0]","['Courtland Sutton', 'WR', 8.1]","['Mike Evans', 'WR', 19.9]","['Hunter Henry', 'TE', 11.3]","['Cooper Kupp', 'RB/WR/TE', 10.5]","['Steelers D/ST', 'D/ST', 15.0]","['Patriots Coach', 'HC', 0.0]"
INTERGALACTIC SEX-MEN ᴿᴰ,10,2,1,Home,126.88,"['Cam Newton', 'QB', 34.58]","['Joe Mixon', 'RB', 10.6]","['Miles Sanders', 'RB', 18.6]","['Odell Beckham Jr.', 'WR', 15.4]","['Allen Robinson II', 'WR', 4.8]","['Noah Fant', 'TE', 15.7]","['Tyler Lockett', 'RB/WR/TE', 16.2]","['Bills D/ST', 'D/ST', 3.0]","['Packers Coach', 'HC', 8.0]"
Landslide lets  Russell Cook ,4,2,1,Away,115.92,"['Russell Wilson', 'QB', 33.42]","['Christian McCaffrey', 'RB', 22.8]","['Nick Chubb', 'RB', 25.8]","['DK Metcalf', 'WR', 17.2]","['Will Fuller V', 'WR', 0.0]","['Rob Gronkowski', 'TE', 0.0]","['Malcolm Brown', 'RB/WR/TE', 4.7]","['49ers D/ST', 'D/ST', 6.0]","['Cardinals Coach', 'HC', 6.0]"
RIGGED PLAYOFFS!!,1,2,2,Home,80.24,"['Ben Roethlisberger', 'QB', 18.24]","['Jonathan Taylor', 'RB', 18.0]","['Ronald Jones II', 'RB', 9.7]","['Amari Cooper', 'WR', 13.0]","['Julio Jones', 'WR', 3.4]","['T.J. Hockenson', 'TE', 8.2]","['Marquise Brown', 'RB/WR/TE', 6.7]","['Cowboys D/ST', 'D/ST', 1.0]","['Seahawks Coach', 'HC', 2.0]"
Big Maliggy Style,2,2,2,Away,105.66,"['Lamar Jackson', 'QB', 17.56]","['Todd Gurley II', 'RB', 6.1]","['Devin Singletary', 'RB', 8.6]","['Robert Woods', 'WR', 10.3]","['Stefon Diggs', 'WR', 25.3]","['Zach Ertz', 'TE', 6.7]","['Keenan Allen', 'RB/WR/TE', 13.1]","['Buccaneers D/ST', 'D/ST', 14.0]","['Buccaneers Coach', 'HC', 4.0]"
The Brussell Wilson Sprouts,11,2,3,Home,148.58,"['Patrick Mahomes', 'QB', 27.48]","['Chris Carson', 'RB', 18.3]","['James Conner', 'RB', 19.1]","['Tyreek Hill', 'WR', 19.3]","['Tyler Boyd', 'WR', 16.7]","['Travis Kelce', 'TE', 19.5]","['Golden Tate', 'RB/WR/TE', 7.2]","['Ravens D/ST', 'D/ST', 15.0]","['49ers Coach', 'HC', 6.0]"
Attorney Generals,6,2,3,Away,124.3,"['Dak Prescott', 'QB', 39.8]","['Aaron Jones', 'RB', 43.6]","['J.K. Dobbins', 'RB', 6.6]","['Adam Thielen', 'WR', 4.6]","['DJ Moore', 'WR', 16.0]","['Mark Andrews', 'TE', 3.4]","['T.Y. Hilton', 'RB/WR/TE', 4.3]","['Saints D/ST', 'D/ST', 5.0]","['Chiefs Coach', 'HC', 1.0]"
 JNCO JEAN GENIE ,3,2,4,Home,94.0,"['Deshaun Watson', 'QB', 14.7]","['Melvin Gordon III', 'RB', 15.4]","['Mark Ingram II', 'RB', 14.7]","['Terry McLaurin', 'WR', 22.0]","['A.J. Green', 'WR', 4.4]","['Evan Engram', 'TE', 9.5]","['Cam Akers', 'RB/WR/TE', 1.3]","['Rams D/ST', 'D/ST', 6.0]","['Ravens Coach', 'HC', 6.0]"
Thigpen's Awakening ᴿᴰ,8,2,4,Away,144.84,"['Kyler Murray', 'QB', 32.14]","['Ezekiel Elliott', 'RB', 19.2]","['Josh Jacobs', 'RB', 12.0]","['JuJu Smith-Schuster', 'WR', 8.3]","['Calvin Ridley', 'WR', 26.4]","['Hayden Hurst', 'TE', 15.7]","['Kareem Hunt', 'RB/WR/TE', 23.1]","['Titans D/ST', 'D/ST', 6.0]","['Steelers Coach', 'HC', 2.0]"
Tub Girl's Tub Scrubbers,5,2,5,Home,147.72,"['Matt Ryan', 'QB', 28.52]","['Dalvin Cook', 'RB', 16.1]","['Austin Ekeler', 'RB', 16.8]","['DeAndre Hopkins', 'WR', 16.8]","['Diontae Johnson', 'WR', 19.2]","['Darren Waller', 'TE', 22.5]","['DeVante Parker', 'RB/WR/TE', 13.8]","['Bears D/ST', 'D/ST', 13.0]","['Cowboys Coach', 'HC', 1.0]"
Inhumane Texan Koch’n,9,2,5,Away,94.2,"['Josh Allen', 'QB', 34.5]","['Alvin Kamara', 'RB', 33.9]","['Clyde Edwards-Helaire', 'RB', 10.0]","['Davante Adams', 'WR', 5.1]","['Anthony Miller', 'WR', 0.0]","['Dallas Goedert', 'TE', 5.0]","['Parris Campbell', 'RB/WR/TE', 0.7]","['Chiefs D/ST', 'D/ST', 4.0]","['Bills Coach', 'HC', 1.0]"
INTERGALACTIC SEX-MEN ᴿᴰ,10,3,0,Home,110.18,"['Cam Newton', 'QB', 11.18]","['Joe Mixon', 'RB', 7.5]","['Miles Sanders', 'RB', 12.7]","['Odell Beckham Jr.', 'WR', 7.9]","['Allen Robinson II', 'WR', 23.3]","['Noah Fant', 'TE', 7.1]","['Tyler Lockett', 'RB/WR/TE', 32.5]","['Bills D/ST', 'D/ST', 6.0]","['Packers Coach', 'HC', 2.0]"
 JNCO JEAN GENIE ,3,3,0,Away,105.62,"['Aaron Rodgers', 'QB', 24.52]","['Melvin Gordon III', 'RB', 5.8]","['Mike Davis', 'RB', 19.1]","['Chris Godwin', 'WR', 14.9]","['Terry McLaurin', 'WR', 10.6]","['Mike Gesicki', 'TE', 8.0]","['Kenny Golladay', 'RB/WR/TE', 14.7]","['Rams D/ST', 'D/ST', 8.0]","['Ravens Coach', 'HC', 0.0]"
Landslide lets  Russell Cook ,4,3,1,Home,141.7,"['Russell Wilson', 'QB', 36.8]","['Nick Chubb', 'RB', 23.5]","['James Robinson', 'RB', 27.9]","['DK Metcalf', 'WR', 17.0]","['Robby Anderson', 'WR', 8.0]","['Tyler Eifert', 'TE', 2.1]","['Will Fuller V', 'RB/WR/TE', 13.4]","['49ers D/ST', 'D/ST', 13.0]","['Cardinals Coach', 'HC', 0.0]"
Thigpen's Awakening ᴿᴰ,8,3,1,Away,104.8,"['Kyler Murray', 'QB', 21.7]","['Ezekiel Elliott', 'RB', 14.8]","['Kareem Hunt', 'RB', 13.4]","['JuJu Smith-Schuster', 'WR', 14.3]","['Calvin Ridley', 'WR', 14.2]","['Jonnu Smith', 'TE', 8.6]","['Josh Jacobs', 'RB/WR/TE', 7.8]","['Titans D/ST', 'D/ST', 8.0]","['Steelers Coach', 'HC', 2.0]"
The Brussell Wilson Sprouts,11,3,2,Home,150.0,"['Patrick Mahomes', 'QB', 40.0]","['Chris Carson', 'RB', 9.1]","['James Conner', 'RB', 22.9]","['Tyreek Hill', 'WR', 18.7]","['Tyler Boyd', 'WR', 17.5]","['Travis Kelce', 'TE', 11.7]","['Golden Tate', 'RB/WR/TE', 6.1]","['Patriots D/ST', 'D/ST', 14.0]","['49ers Coach', 'HC', 10.0]"
Tub Girl's Tub Scrubbers,5,3,2,Away,122.02,"['Matt Ryan', 'QB', 11.42]","['Dalvin Cook', 'RB', 24.9]","['Austin Ekeler', 'RB', 25.8]","['DeAndre Hopkins', 'WR', 18.7]","['Diontae Johnson', 'WR', 0.9]","['Darren Waller', 'TE', 1.9]","['DeVante Parker', 'RB/WR/TE', 9.4]","['Colts D/ST', 'D/ST', 29.0]","['Cowboys Coach', 'HC', 0.0]"
Inhumane Texan Koch’n,9,3,3,Home,131.74,"['Josh Allen', 'QB', 31.24]","['Alvin Kamara', 'RB', 38.2]","['Clyde Edwards-Helaire', 'RB', 15.9]","['Mike Williams', 'WR', 2.2]","['Allen Lazard', 'WR', 23.4]","['Dallas Goedert', 'TE', 1.2]","['Jarvis Landry', 'RB/WR/TE', 5.6]","['Chargers D/ST', 'D/ST', 4.0]","['Colts Coach', 'HC', 10.0]"
Attorney Generals,6,3,3,Away,98.28,"['Dak Prescott', 'QB', 27.48]","['Aaron Jones', 'RB', 15.6]","['Darrell Henderson Jr.', 'RB', 18.5]","['Adam Thielen', 'WR', 10.8]","['DJ Moore', 'WR', 7.5]","['Mark Andrews', 'TE', 3.7]","['T.Y. Hilton', 'RB/WR/TE', 6.7]","['Vikings D/ST', 'D/ST', 4.0]","['Chiefs Coach', 'HC', 4.0]"
Dumpster Juice,12,3,4,Home,97.98,"['Tom Brady', 'QB', 23.88]","['David Johnson', 'RB', 11.6]","['Jordan Howard', 'RB', 6.1]","['Mike Evans', 'WR', 13.2]","['John Brown', 'WR', 0.0]","['Tyler Higbee', 'TE', 7.0]","['Cooper Kupp', 'RB/WR/TE', 21.2]","['Steelers D/ST', 'D/ST', 9.0]","['Patriots Coach', 'HC', 6.0]"
Big Maliggy Style,2,3,4,Away,135.98,"['Lamar Jackson', 'QB', 14.18]","['Todd Gurley II', 'RB', 14.7]","['Devin Singletary', 'RB', 14.1]","['Robert Woods', 'WR', 18.9]","['Stefon Diggs', 'WR', 12.9]","['Zach Ertz', 'TE', 10.5]","['Keenan Allen', 'RB/WR/TE', 23.7]","['Buccaneers D/ST', 'D/ST', 21.0]","['Buccaneers Coach', 'HC', 6.0]"
RIGGED PLAYOFFS!!,1,3,5,Home,81.88,"['Ben Roethlisberger', 'QB', 19.18]","['Leonard Fournette', 'RB', 3.2]","['Jonathan Taylor', 'RB', 12.7]","['Amari Cooper', 'WR', 13.1]","['CeeDee Lamb', 'WR', 9.1]","['T.J. Hockenson', 'TE', 7.3]","['Marquise Brown', 'RB/WR/TE', 2.3]","['Browns D/ST', 'D/ST', 13.0]","['Seahawks Coach', 'HC', 2.0]"
Sausage Brainᴿᴰ,7,3,5,Away,71.94,"['Ryan Tannehill', 'QB', 12.24]","['Kenyan Drake', 'RB', 8.4]","['Derrick Henry', 'RB', 26.0]","['Marvin Jones Jr.', 'WR', 6.6]","['Larry Fitzgerald', 'WR', 0.5]","['Dalton Schultz', 'TE', 6.8]","['David Montgomery', 'RB/WR/TE', 6.4]","['Broncos D/ST', 'D/ST', 4.0]","['Titans Coach', 'HC', 1.0]"
INTERGALACTIC SEX-MEN ᴿᴰ,10,4,0,Home,145.04,"['Gardner Minshew II', 'QB', 20.94]","['Joe Mixon', 'RB', 39.1]","['Miles Sanders', 'RB', 8.6]","['Odell Beckham Jr.', 'WR', 35.9]","['Tyler Lockett', 'WR', 4.9]","['Noah Fant', 'TE', 6.0]","['Allen Robinson II', 'RB/WR/TE', 19.6]","['Bills D/ST', 'D/ST', 6.0]","['Packers Coach', 'HC', 4.0]"
Sausage Brainᴿᴰ,7,4,0,Away,85.3,"['Jared Goff', 'QB', 11.7]","['Kenyan Drake', 'RB', 3.5]","['David Montgomery', 'RB', 9.2]","['DJ Chark Jr.', 'WR', 25.5]","['Marvin Jones Jr.', 'WR', 1.4]","['Jimmy Graham', 'TE', 5.3]","['Mike Evans', 'RB/WR/TE', 21.7]","['Seahawks D/ST', 'D/ST', 5.0]","['Broncos Coach', 'HC', 2.0]"
Thigpen's Awakening ᴿᴰ,8,4,1,Home,82.62,"['Kyler Murray', 'QB', 23.12]","['Ezekiel Elliott', 'RB', 16.5]","['Josh Jacobs', 'RB', 8.8]","['Calvin Ridley', 'WR', 0.0]","['Preston Williams', 'WR', 4.0]","['Hayden Hurst', 'TE', 7.1]","['Kareem Hunt', 'RB/WR/TE', 19.1]","['Cardinals D/ST', 'D/ST', 2.0]","['Rams Coach', 'HC', 2.0]"
RIGGED PLAYOFFS!!,1,4,1,Away,103.2,"['Kirk Cousins', 'QB', 14.9]","['Jonathan Taylor', 'RB', 8.4]","['Ronald Jones II', 'RB', 15.8]","['Julio Jones', 'WR', 5.2]","['Marquise Brown', 'WR', 10.6]","['T.J. Hockenson', 'TE', 9.9]","['Amari Cooper', 'RB/WR/TE', 27.4]","['Browns D/ST', 'D/ST', 9.0]","['Seahawks Coach', 'HC', 2.0]"
Landslide lets  Russell Cook ,4,4,2,Home,99.0,"['Russell Wilson', 'QB', 20.9]","['Nick Chubb', 'RB', 4.3]","['James Robinson', 'RB', 12.7]","['DK Metcalf', 'WR', 12.6]","['Robby Anderson', 'WR', 13.9]","['Mo Alie-Cox', 'TE', 7.8]","['Will Fuller V', 'RB/WR/TE', 19.8]","['49ers D/ST', 'D/ST', 7.0]","['Cardinals Coach', 'HC', 0.0]"
Attorney Generals,6,4,2,Away,128.08,"['Dak Prescott', 'QB', 37.28]","['Aaron Jones', 'RB', 19.6]","['Darrell Henderson Jr.', 'RB', 4.2]","['Adam Thielen', 'WR', 22.2]","['DJ Moore', 'WR', 6.9]","['Mark Andrews', 'TE', 19.2]","['Myles Gaskin', 'RB/WR/TE', 7.7]","['Vikings D/ST', 'D/ST', 5.0]","['Chiefs Coach', 'HC', 6.0]"
 JNCO JEAN GENIE ,3,4,3,Home,125.38,"['Aaron Rodgers', 'QB', 29.58]","['Mike Davis', 'RB', 19.6]","['Jeff Wilson Jr.', 'RB', 2.4]","['Terry McLaurin', 'WR', 16.8]","['Kenny Golladay', 'WR', 14.2]","['Mike Gesicki', 'TE', 2.0]","['Melvin Gordon III', 'RB/WR/TE', 24.8]","['Rams D/ST', 'D/ST', 12.0]","['Ravens Coach', 'HC', 4.0]"
Inhumane Texan Koch’n,9,4,3,Away,86.7,"['Josh Allen', 'QB', 25.42]","['Alvin Kamara', 'RB', 19.4]","['Clyde Edwards-Helaire', 'RB', 10.6]","['Davante Adams', 'WR', 0.0]","['Jarvis Landry', 'WR', 12.78]","['Logan Thomas', 'TE', 1.3]","['Hunter Renfrow', 'RB/WR/TE', 8.2]","['Saints D/ST', 'D/ST', 7.0]","['Colts Coach', 'HC', 2.0]"
The Brussell Wilson Sprouts,11,4,4,Home,90.54,"['Patrick Mahomes', 'QB', 20.24]","['Chris Carson', 'RB', 23.5]","['Cordarrelle Patterson', 'RB', 1.0]","['Tyreek Hill', 'WR', 14.4]","['Tyler Boyd', 'WR', 12.9]","['Travis Kelce', 'TE', 8.5]","['Golden Tate', 'RB/WR/TE', 4.0]","['Ravens D/ST', 'D/ST', 6.0]","['49ers Coach', 'HC', 0.0]"
Dumpster Juice,12,4,4,Away,80.76,"['Tom Brady', 'QB', 32.46]","['David Johnson', 'RB', 10.2]","['Brian Hill', 'RB', 3.3]","['Cooper Kupp', 'WR', 15.2]","['John Brown', 'WR', 6.2]","['Tyler Higbee', 'TE', 3.5]","['Hunter Henry', 'RB/WR/TE', 4.9]","['Texans D/ST', 'D/ST', 3.0]","['Bills Coach', 'HC', 2.0]"
Tub Girl's Tub Scrubbers,5,4,5,Home,98.7,"['Matt Ryan', 'QB', 12.4]","['Dalvin Cook', 'RB', 27.6]","['Austin Ekeler', 'RB', 1.9]","['DeAndre Hopkins', 'WR', 7.6]","['DeVante Parker', 'WR', 16.0]","['Darren Waller', 'TE', 11.3]","['Jamison Crowder', 'RB/WR/TE', 13.9]","['Colts D/ST', 'D/ST', 8.0]","['Cowboys Coach', 'HC', 0.0]"
Big Maliggy Style,2,4,5,Away,132.12,"['Lamar Jackson', 'QB', 25.02]","['Todd Gurley II', 'RB', 18.8]","['Devin Singletary', 'RB', 16.2]","['Robert Woods', 'WR', 6.8]","['Stefon Diggs', 'WR', 14.5]","['George Kittle', 'TE', 32.6]","['Keenan Allen', 'RB/WR/TE', 10.2]","['Buccaneers D/ST', 'D/ST', 6.0]","['Buccaneers Coach', 'HC', 2.0]"
