,Player,Points
Landslide lets  Russell Cook ,Russell Wilson,31.78
Inhumane Texan Koch’n,Josh Allen,28.18
Big Maliggy Style,Lamar Jackson,27.5
Thigpen's Awakening ᴿᴰ,Kyler Murray,26.3
INTERGALACTIC SEX-MEN ᴿᴰ,Cam Newton,25.7
Tub Girl's Tub Scrubbers,Matt Ryan,23.9
RIGGED PLAYOFFS!!,Ben Roethlisberger,22.06
 JNCO JEAN GENIE ,Deshaun Watson,20.82
Dumpster Juice,Tom Brady,20.46
The Brussell Wilson Sprouts,Patrick Mahomes,20.44
Attorney Generals,Dak Prescott,17.64
Sausage Brainᴿᴰ,Jared Goff,10.5
Attorney Generals,Dak Prescott,39.8
INTERGALACTIC SEX-MEN ᴿᴰ,Cam Newton,34.58
Inhumane Texan Koch’n,Josh Allen,34.5
Landslide lets  Russell Cook ,Russell Wilson,33.42
Thigpen's Awakening ᴿᴰ,Kyler Murray,32.14
Tub Girl's Tub Scrubbers,Matt Ryan,28.52
The Brussell Wilson Sprouts,Patrick Mahomes,27.48
Sausage Brainᴿᴰ,Ryan Tannehill,26.76
RIGGED PLAYOFFS!!,Ben Roethlisberger,18.24
Big Maliggy Style,Lamar Jackson,17.56
 JNCO JEAN GENIE ,Deshaun Watson,14.7
Dumpster Juice,Tom Brady,8.68
The Brussell Wilson Sprouts,Patrick Mahomes,40.0
Landslide lets  Russell Cook ,Russell Wilson,36.8
Inhumane Texan Koch’n,Josh Allen,31.24
Attorney Generals,Dak Prescott,27.48
 JNCO JEAN GENIE ,Aaron Rodgers,24.52
Dumpster Juice,Tom Brady,23.88
Thigpen's Awakening ᴿᴰ,Kyler Murray,21.7
RIGGED PLAYOFFS!!,Ben Roethlisberger,19.18
Big Maliggy Style,Lamar Jackson,14.18
Sausage Brainᴿᴰ,Ryan Tannehill,12.24
Tub Girl's Tub Scrubbers,Matt Ryan,11.42
INTERGALACTIC SEX-MEN ᴿᴰ,Cam Newton,11.18
Attorney Generals,Dak Prescott,37.28
Dumpster Juice,Tom Brady,32.46
 JNCO JEAN GENIE ,Aaron Rodgers,29.58
Inhumane Texan Koch’n,Josh Allen,25.42
Big Maliggy Style,Lamar Jackson,25.02
Thigpen's Awakening ᴿᴰ,Kyler Murray,23.12
INTERGALACTIC SEX-MEN ᴿᴰ,Gardner Minshew II,20.94
Landslide lets  Russell Cook ,Russell Wilson,20.9
The Brussell Wilson Sprouts,Patrick Mahomes,20.24
RIGGED PLAYOFFS!!,Kirk Cousins,14.9
Tub Girl's Tub Scrubbers,Matt Ryan,12.4
Sausage Brainᴿᴰ,Jared Goff,11.7
The Brussell Wilson Sprouts,Patrick Mahomes,29.7
Thigpen's Awakening ᴿᴰ,Kyler Murray,26.3
 JNCO JEAN GENIE ,Deshaun Watson,24.86
Landslide lets  Russell Cook ,Russell Wilson,24.48
Sausage Brainᴿᴰ,Jared Goff,24.36
RIGGED PLAYOFFS!!,Ben Roethlisberger,21.36
INTERGALACTIC SEX-MEN ᴿᴰ,Gardner Minshew II,19.84
