Team ID,Owner,Team Name,Week,Matchup_ID,Home/Away,Division,Wins,Losses,Ties,Record (season),Total pts (season),Cumulative points,Points for (week),Plus/Minus,QB,RB1,RB2,WR1,WR2,TE,RB/WR/TE,D/ST,,BE
20,Nick Carter,HE GOT THAT DOG LAGER,1,0,Home,Ale,1,0,0,(5-0-0),599.0799999999999,113.62,113.62,23.200000000000003,"['Lamar Jackson', 'QB', 20.22]","['Aaron Jones', 'RB', 9.1]","['Nick Chubb', 'RB', 14.8]","['Diontae Johnson', 'WR', 9.0]","['JuJu Smith-Schuster', 'WR', 8.9]","['Zach Ertz', 'TE', 10.4]","['Courtland Sutton', 'RB/WR/TE', 9.2]","['Steelers D/ST', 'D/ST', 22.0]","['empty', '', 0.0]","[['DK Metcalf', 'BE', 5.1], ['Tyler Lockett', 'BE', 4.3], ['AJ Dillon', 'BE', 17.6], ['Rondale Moore', 'BE', 0.0], [""D'Ernest Johnson"", 'BE', 0.0], ['Isaiah McKenzie', 'BE', 8.9], ['Robert Tonyan', 'BE', 5.1]]"
18,Christopher Bea,Saison Barley,1,0,Away,Ale,0,1,0,(2-3-0),528.64,90.42,90.42,-23.200000000000003,"['Kyler Murray', 'QB', 20.62]","['Christian McCaffrey', 'RB', 13.7]","['Tony Pollard', 'RB', 3.2]","['A.J. Brown', 'WR', 20.5]","['Amon-Ra St. Brown', 'WR', 16.4]","['Dawson Knox', 'TE', 1.0]","['Mike Williams', 'RB/WR/TE', 2.0]","['Broncos D/ST', 'D/ST', 7.0]","['empty', '', 0.0]","[['J.K. Dobbins', 'BE', 0.0], ['Trey Lance', 'BE', 9.96], ['Chris Godwin', 'BE', 5.0], ['Brandon Aiyuk', 'BE', 5.7], ['Elijah Moore', 'BE', 7.4], ['J.D. McKissic', 'BE', 6.3], ['Romeo Doubs', 'BE', 6.8]]"
15,Eric Ruth,Pliny the Younghoe Koo,1,1,Home,Ale,1,0,0,(2-3-0),416.34000000000003,107.18,107.18,49.580000000000005,"['Tom Brady', 'QB', 10.38]","['Javonte Williams', 'RB', 14.3]","['Kareem Hunt', 'RB', 21.0]","['Justin Jefferson', 'WR', 34.9]","['Allen Robinson II', 'WR', 1.7]","['Hunter Henry', 'TE', 3.0]","['CeeDee Lamb', 'RB/WR/TE', 3.9]","['Ravens D/ST', 'D/ST', 9.0]","['empty', '', 0.0]","[['Amari Cooper', 'BE', 3.2], ['James Cook', 'BE', -1.8], ['Jamaal Williams', 'BE', 15.5], ['Jalen Tolbert', 'BE', 0.0], ['Jaylen Warren', 'BE', 0.7], ['Eno Benjamin', 'BE', 9.6], ['Mark Ingram II', 'BE', 0.8]]"
13,K Hart,Alex Smith's Mangled Leg,1,1,Away,Ale,0,1,0,(1-4-0),427.14,57.6,57.6,-49.580000000000005,"['Aaron Rodgers', 'QB', 3.7]","['Najee Harris', 'RB', 9.6]","['Dalvin Cook', 'RB', 12.3]","['Keenan Allen', 'WR', 8.6]","['Adam Thielen', 'WR', 5.1]","['Noah Fant', 'TE', 3.1]","['Kenny Golladay', 'RB/WR/TE', 3.2]","['49ers D/ST', 'D/ST', 6.0]","['empty', '', 0.0]","[['George Kittle', 'BE', 0.0], ['Matthew Stafford', 'BE', 7.8], ['James Robinson', 'BE', 19.4], ['Russell Gage', 'BE', 2.3], ['Kirk Cousins', 'BE', 19.08], ['Joshua Palmer', 'BE', 2.4], ['Treylon Burks', 'BE', 7.0]]"
19,Grant R.,TRIPPEL OPTION,1,2,Home,Ale,1,0,0,(3-2-0),495.06,139.2,139.2,31.279999999999987,"['Russell Wilson', 'QB', 17.8]","['Miles Sanders', 'RB', 17.5]","['Clyde Edwards-Helaire', 'RB', 20.9]","[""Ja'Marr Chase"", 'WR', 23.9]","['Michael Pittman Jr.', 'WR', 22.6]","['Albert Okwuegbunam', 'TE', 5.8]","['Leonard Fournette', 'RB/WR/TE', 14.7]","['Eagles D/ST', 'D/ST', 8.0]","['empty', '', 0.0]","[['Breece Hall', 'BE', 7.1], ['Darnell Mooney', 'BE', 1.3], ['Drake London', 'BE', 9.9], ['Nyheim Hines', 'BE', 9.4], ['Tyler Boyd', 'BE', 11.3], ['Mecole Hardman', 'BE', 9.1], ['George Pickens', 'BE', 0.8]]"
6,Matt Fortress,Indianapolis Kölsch,1,2,Away,Ale,0,1,0,(2-3-0),550.04,107.92,107.92,-31.279999999999987,"['Joe Burrow', 'QB', 18.22]","['Austin Ekeler', 'RB', 9.2]","['Joe Mixon', 'RB', 18.0]","['Stefon Diggs', 'WR', 22.2]","['Rashod Bateman', 'WR', 12.9]","['Dalton Schultz', 'TE', 9.7]","['Rhamondre Stevenson', 'RB/WR/TE', 3.7]","['Browns D/ST', 'D/ST', 8.0]","['empty', '', 0.0]","[['Kadarius Toney', 'BE', 2.3], ['Chris Olave', 'BE', 7.6], ['Robert Woods', 'BE', 1.8], ['Kenneth Gainwell', 'BE', 10.2], ['Brian Robinson', 'BE', 0.0], ['DeVante Parker', 'BE', 1.4], ['Mike Davis', 'BE', 1.1]]"
10,Zack Alexander,Russel Wilson Rauchbier,1,3,Home,Lager,0,1,0,(1-4-0),435.76,81.4,81.4,-44.0,"['Derek Carr', 'QB', 13.8]","['Jonathan Taylor', 'RB', 25.5]","['Travis Etienne Jr.', 'RB', 7.5]","['Tee Higgins', 'WR', 3.7]","['DJ Moore', 'WR', 6.5]","['Cole Kmet', 'TE', 0.0]","['Dameon Pierce', 'RB/WR/TE', 4.4]","['Dolphins D/ST', 'D/ST', 19.0]","['empty', '', 0.0]","[['Garrett Wilson', 'BE', 7.2], ['Allen Lazard', 'BE', 0.0], ['Isiah Pacheco', 'BE', 12.2], ['Jahan Dotson', 'BE', 16.5], ['Khalil Herbert', 'BE', 10.8], ['Zay Jones', 'BE', 9.5], ['Alec Pierce', 'BE', 0.0]]"
17,David Claiborne,Case of Rogue Dead Guys,1,3,Away,Lager,1,0,0,(2-3-0),574.92,125.4,125.4,44.0,"['Patrick Mahomes', 'QB', 34.9]","['Ezekiel Elliott', 'RB', 5.4]","['Elijah Mitchell', 'RB', 4.1]","['Cooper Kupp', 'WR', 25.3]","['Marquise Brown', 'WR', 12.3]","['Darren Waller', 'TE', 9.9]","['Antonio Gibson', 'RB/WR/TE', 16.5]","['Bengals D/ST', 'D/ST', 4.0]","['empty', '', 0.0]","[['Raheem Mostert', 'BE', 3.7], ['Jarvis Landry', 'BE', 14.9], ['DJ Chark', 'BE', 13.2], ['Parris Campbell', 'BE', 5.2], ['Nico Collins', 'BE', 3.6], ['Kenyan Drake', 'BE', 5.1], ['Robbie Anderson', 'BE', 18.7]]"
8,Worth Least,Seven Round Mock Draught,1,4,Home,Lager,1,0,0,(3-2-0),636.74,133.08,133.08,55.920000000000016,"['Josh Allen', 'QB', 31.48]","['Alvin Kamara', 'RB', 6.1]","['Josh Jacobs', 'RB', 7.8]","['Davante Adams', 'WR', 25.1]","['Mike Evans', 'WR', 15.6]","['T.J. Hockenson', 'TE', 5.8]","['Michael Thomas', 'RB/WR/TE', 20.2]","['Buccaneers D/ST', 'D/ST', 12.0]","['empty', '', 0.0]","[['Skyy Moore', 'BE', 4.5], ['Kenneth Walker III', 'BE', 0.0], ['Chase Edmonds', 'BE', 8.5], ['Chase Claypool', 'BE', 7.4], ['Marquez Valdes-Scantling', 'BE', 6.1], ['Darrell Henderson Jr.', 'BE', 9.8], ['Mike Gesicki', 'BE', 0.6]]"
21,Thomas G,Barrel-aged Tom Brady,1,4,Away,Lager,0,1,0,(2-3-0),455.09999999999997,77.16,77.16,-55.920000000000016,"['Justin Herbert', 'QB', 23.26]","['Cam Akers', 'RB', 0.0]","['David Montgomery', 'RB', 6.5]","['Tyreek Hill', 'WR', 14.0]","['Terry McLaurin', 'WR', 12.8]","['Kyle Pitts', 'TE', 2.9]","['Rashaad Penny', 'RB/WR/TE', 7.7]","['Saints D/ST', 'D/ST', 3.0]","['empty', '', 0.0]","[['Jaylen Waddle', 'BE', 15.7], ['Brandin Cooks', 'BE', 11.7], ['Hunter Renfrow', 'BE', 3.6], ['Equanimeous St. Brown', 'BE', 8.3], ['Devin Singletary', 'BE', 7.2], ['Michael Carter', 'BE', 13.5], ['David Njoku', 'BE', 1.2]]"
7,No Fear,Ice Cold Coorsdarrelle,1,5,Home,Lager,0,1,0,(3-2-0),600.3,112.06,112.06,-44.359999999999985,"['Dak Prescott', 'QB', 4.46]","['Derrick Henry', 'RB', 8.2]","['James Conner', 'RB', 14.0]","['Deebo Samuel', 'WR', 11.6]","['Jerry Jeudy', 'WR', 18.2]","['Dallas Goedert', 'TE', 7.5]","['Cordarrelle Patterson', 'RB/WR/TE', 21.1]","['Bills D/ST', 'D/ST', 18.0]","['empty', '', 0.0]","[['DeAndre Hopkins', 'BE', 0.0], ['Damien Harris', 'BE', 6.8], ['DeVonta Smith', 'BE', 0.0], ['Melvin Gordon III', 'BE', 6.2], ['Pat Freiermuth', 'BE', 10.0], ['Trevor Lawrence', 'BE', 13.4], ['Alexander Mattison', 'BE', 3.6]]"
12,James G,Trappist Freiermuth 88,1,5,Away,Lager,1,0,0,(4-1-0),641.9599999999999,156.42,156.42,44.359999999999985,"['Jalen Hurts', 'QB', 24.72]","['Saquon Barkley', 'RB', 30.4]","[""D'Andre Swift"", 'RB', 25.0]","['Gabe Davis', 'WR', 16.8]","['Christian Kirk', 'WR', 14.7]","['Mark Andrews', 'TE', 7.7]","['Travis Kelce', 'RB/WR/TE', 22.1]","['Colts D/ST', 'D/ST', 7.0]","['empty', '', 0.0]","[['Rachaad White', 'BE', 3.1], ['Julio Jones', 'BE', 10.1], [""Wan'Dale Robinson"", 'BE', 1.0], ['Jakobi Meyers', 'BE', 8.2], ['Michael Gallup', 'BE', 0.0], ['Packers D/ST', 'BE', 0.0], ['Zamir White', 'BE', 0.0]]"
18,Christopher Bea,Saison Barley,2,0,Home,Ale,1,1,0,(2-3-0),528.64,235.60000000000002,145.18,42.10000000000001,"['Kyler Murray', 'QB', 25.88]","['Christian McCaffrey', 'RB', 14.8]","['Tony Pollard', 'RB', 17.8]","['A.J. Brown', 'WR', 9.4]","['Amon-Ra St. Brown', 'WR', 34.9]","['Dawson Knox', 'TE', 6.1]","['Mike Williams', 'RB/WR/TE', 21.3]","['Broncos D/ST', 'D/ST', 8.0]","['empty', '', 0.0]","[['J.K. Dobbins', 'BE', 0.0], ['Trey Lance', 'BE', 2.5], ['Chris Godwin', 'BE', 0.0], ['Brandon Aiyuk', 'BE', 8.8], ['Elijah Moore', 'BE', 5.0], ['J.D. McKissic', 'BE', 9.8], ['Romeo Doubs', 'BE', 3.7]]"
13,K Hart,Alex Smith's Mangled Leg,2,0,Away,Ale,0,2,0,(1-4-0),427.14,160.68,103.08,-42.10000000000001,"['Matthew Stafford', 'QB', 18.88]","['Najee Harris', 'RB', 11.4]","['Dalvin Cook', 'RB', 5.6]","['Adam Thielen', 'WR', 7.2]","['Joshua Palmer', 'WR', 11.0]","['Logan Thomas', 'TE', 11.2]","['James Robinson', 'RB/WR/TE', 14.8]","['49ers D/ST', 'D/ST', 13.0]","['empty', '', 0.0]","[['George Kittle', 'BE', 0.0], ['Keenan Allen', 'BE', 0.0], ['Aaron Rodgers', 'BE', 16.36], ['Kenny Golladay', 'BE', 0.0], ['Russell Gage', 'BE', 5.3], ['Kirk Cousins', 'BE', 8.84], ['Treylon Burks', 'BE', 6.7]]"
6,Matt Fortress,Indianapolis Kölsch,2,1,Home,Ale,0,2,0,(2-3-0),550.04,228.48000000000002,120.56,-29.25999999999999,"['Joe Burrow', 'QB', 16.56]","['Austin Ekeler', 'RB', 13.9]","['Joe Mixon', 'RB', 9.8]","['Stefon Diggs', 'WR', 38.8]","['Rashod Bateman', 'WR', 18.8]","['Gerald Everett', 'TE', 10.1]","['Rhamondre Stevenson', 'RB/WR/TE', 5.6]","['Browns D/ST', 'D/ST', 1.0]","['empty', '', 0.0]","[['Dalton Schultz', 'BE', 0.8], ['Kadarius Toney', 'BE', 1.0], ['Chris Olave', 'BE', 8.5], ['Robert Woods', 'BE', 5.9], ['Kenneth Gainwell', 'BE', 2.3], ['Brian Robinson', 'BE', 0.0], ['Tyrion Davis-Price', 'BE', 3.3]]"
20,Nick Carter,HE GOT THAT DOG LAGER,2,1,Away,Ale,2,0,0,(5-0-0),599.0799999999999,263.44,149.82,29.25999999999999,"['Lamar Jackson', 'QB', 42.62]","['Aaron Jones', 'RB', 30.5]","['Nick Chubb', 'RB', 30.8]","['Diontae Johnson', 'WR', 10.7]","['JuJu Smith-Schuster', 'WR', 2.5]","['Zach Ertz', 'TE', 11.5]","['AJ Dillon', 'RB/WR/TE', 7.2]","['Steelers D/ST', 'D/ST', 2.0]","['empty', '', 0.0]","[['DK Metcalf', 'BE', 5.5], ['Courtland Sutton', 'BE', 16.2], ['Tyler Lockett', 'BE', 15.2], ['Rondale Moore', 'BE', 0.0], ['Isaiah McKenzie', 'BE', 4.7], ['Robert Tonyan', 'BE', 2.1], ['Zack Moss', 'BE', 1.7]]"
19,Grant R.,TRIPPEL OPTION,2,2,Home,Ale,2,0,0,(3-2-0),495.06,204.95999999999998,65.76,0.8599999999999994,"['Russell Wilson', 'QB', 11.06]","['Leonard Fournette', 'RB', 8.4]","['Clyde Edwards-Helaire', 'RB', 13.8]","[""Ja'Marr Chase"", 'WR', 8.3]","['Darnell Mooney', 'WR', 0.1]","['Albert Okwuegbunam', 'TE', 0.0]","['Miles Sanders', 'RB/WR/TE', 10.1]","['Patriots D/ST', 'D/ST', 10.0]","['empty', '', 0.0]","[['Michael Pittman Jr.', 'BE', 0.0], ['Breece Hall', 'BE', 12.5], ['Drake London', 'BE', 20.6], ['Tyler Boyd', 'BE', 4.7], ['Mecole Hardman', 'BE', 6.0], ['George Pickens', 'BE', 2.8], ['Tyler Allgeier', 'BE', 3.0]]"
15,Eric Ruth,Pliny the Younghoe Koo,2,2,Away,Ale,1,1,0,(2-3-0),416.34000000000003,172.08,64.9,-0.8599999999999994,"['Tom Brady', 'QB', 9.4]","['Javonte Williams', 'RB', 9.0]","['Kareem Hunt', 'RB', 8.4]","['Justin Jefferson', 'WR', 7.8]","['Allen Robinson II', 'WR', 13.3]","['Taysom Hill', 'TE', 1.4]","['CeeDee Lamb', 'RB/WR/TE', 11.6]","['Colts D/ST', 'D/ST', 0.0]","['empty', '', 0.0]","[['Amari Cooper', 'BE', 20.6], ['Jamaal Williams', 'BE', 6.5], ['Jaylen Warren', 'BE', 2.0], ['Eno Benjamin', 'BE', 7.6], ['Mark Ingram II', 'BE', 5.1], ['Jordan Mason', 'BE', 0.0], ['Jerick McKinnon', 'BE', 8.6]]"
17,David Claiborne,Case of Rogue Dead Guys,2,3,Home,Lager,1,1,0,(2-3-0),574.92,224.60000000000002,99.2,-16.459999999999994,"['Patrick Mahomes', 'QB', 17.3]","['Ezekiel Elliott', 'RB', 5.4]","['Antonio Gibson', 'RB', 11.1]","['Cooper Kupp', 'WR', 26.3]","['Marquise Brown', 'WR', 9.8]","['Darren Waller', 'TE', 14.0]","['Jeff Wilson Jr.', 'RB/WR/TE', 11.3]","['Bengals D/ST', 'D/ST', 3.0]","['empty', '', 0.0]","[['Elijah Mitchell', 'BE', 0.0], ['Raheem Mostert', 'BE', 9.4], ['Jarvis Landry', 'BE', 4.5], ['DJ Chark', 'BE', 0.0], ['Robbie Anderson', 'BE', 2.7], ['Curtis Samuel', 'BE', 19.4], ['Richie James', 'BE', 7.6]]"
21,Thomas G,Barrel-aged Tom Brady,2,3,Away,Lager,1,1,0,(2-3-0),455.09999999999997,192.82,115.66,16.459999999999994,"['Justin Herbert', 'QB', 23.46]","['David Montgomery', 'RB', 14.6]","['Michael Carter', 'RB', 7.5]","['Tyreek Hill', 'WR', 36.5]","['Terry McLaurin', 'WR', 10.2]","['Kyle Pitts', 'TE', 2.9]","['Rashaad Penny', 'RB/WR/TE', 1.5]","['Saints D/ST', 'D/ST', 6.0]","['empty', '', 0.0]","[['Cam Akers', 'BE', 7.2], ['Jaylen Waddle', 'BE', 34.6], ['Brandin Cooks', 'BE', 7.4], ['Hunter Renfrow', 'BE', 7.4], ['Equanimeous St. Brown', 'BE', 4.9], ['Devin Singletary', 'BE', 3.1], ['David Njoku', 'BE', 4.7]]"
12,James G,Trappist Freiermuth 88,2,4,Home,Lager,2,0,0,(4-1-0),641.9599999999999,290.03999999999996,133.62,58.24000000000001,"['Jalen Hurts', 'QB', 33.02]","['Saquon Barkley', 'RB', 10.3]","[""D'Andre Swift"", 'RB', 15.7]","['Christian Kirk', 'WR', 22.8]","['Parris Campbell', 'WR', 0.0]","['Travis Kelce', 'TE', 7.6]","['Mark Andrews', 'RB/WR/TE', 21.2]","['Rams D/ST', 'D/ST', 11.0]","['empty', '', 0.0]","[['Gabe Davis', 'BE', 0.0], ['Rachaad White', 'BE', 0.1], ['Julio Jones', 'BE', 0.0], ['Jakobi Meyers', 'BE', 14.0], ['Packers D/ST', 'BE', 10.0], ['Rex Burkhead', 'BE', 1.9], ['Nyheim Hines', 'BE', 5.7]]"
10,Zack Alexander,Russel Wilson Rauchbier,2,4,Away,Lager,0,2,0,(1-4-0),435.76,156.78,75.38,-58.24000000000001,"['Derek Carr', 'QB', 18.98]","['Jonathan Taylor', 'RB', 6.8]","['Travis Etienne Jr.', 'RB', 6.8]","['Tee Higgins', 'WR', 16.1]","['DJ Moore', 'WR', 11.8]","['Tyler Higbee', 'TE', 10.6]","['Allen Lazard', 'RB/WR/TE', 8.3]","['Dolphins D/ST', 'D/ST', -5.0]","['empty', '', 0.0]","[['Dameon Pierce', 'BE', 8.2], ['Garrett Wilson', 'BE', 26.0], ['Isiah Pacheco', 'BE', 0.6], ['Cole Kmet', 'BE', 0.0], ['Jahan Dotson', 'BE', 15.9], ['Khalil Herbert', 'BE', 4.6], ['Zay Jones', 'BE', 3.8]]"
7,No Fear,Ice Cold Coorsdarrelle,2,5,Home,Lager,0,2,0,(3-2-0),600.3,219.14,107.08,-12.299999999999997,"['Carson Wentz', 'QB', 27.78]","['Derrick Henry', 'RB', 8.5]","['James Conner', 'RB', 6.1]","['Deebo Samuel', 'WR', 12.2]","['Jerry Jeudy', 'WR', 1.7]","['Dallas Goedert', 'TE', 10.7]","['Cordarrelle Patterson', 'RB/WR/TE', 5.1]","['Bills D/ST', 'D/ST', 22.0]","['empty', '', 0.0]","[['Dak Prescott', 'BE', 0.0], ['DeAndre Hopkins', 'BE', 0.0], ['Damien Harris', 'BE', 15.7], ['DeVonta Smith', 'BE', 11.5], ['Melvin Gordon III', 'BE', 5.8], ['Pat Freiermuth', 'BE', 10.2], ['Alexander Mattison', 'BE', 2.9]]"
8,Worth Least,Seven Round Mock Draught,2,5,Away,Lager,2,0,0,(3-2-0),636.74,252.46,119.38,12.299999999999997,"['Josh Allen', 'QB', 29.68]","['Josh Jacobs', 'RB', 8.6]","['Darrell Henderson Jr.', 'RB', 10.7]","['Davante Adams', 'WR', 8.2]","['Mike Evans', 'WR', 7.6]","['T.J. Hockenson', 'TE', 4.1]","['Michael Thomas', 'RB/WR/TE', 15.5]","['Buccaneers D/ST', 'D/ST', 25.0]","['empty', '', 0.0]","[['Alvin Kamara', 'BE', 0.0], ['Skyy Moore', 'BE', 0.0], ['Kenneth Walker III', 'BE', 2.5], ['Chase Edmonds', 'BE', 4.6], ['Chase Claypool', 'BE', 4.6], ['Marquez Valdes-Scantling', 'BE', 2.3], ['Dontrell Hilliard', 'BE', 0.0]]"
