,Player,Points
Thigpen's Awakening ᴿᴰ,Josh Jacobs,33.9
Landslide lets  Russell Cook ,Christian McCaffrey,27.0
The Brussell Wilson Sprouts,Chris Carson,21.6
Tub Girl's Tub Scrubbers,Dalvin Cook,21.3
Inhumane Texan Koch’n,Alvin Kamara,21.2
Attorney Generals,Aaron Jones,15.6
 JNCO JEAN GENIE ,Melvin Gordon III,14.1
Sausage Brainᴿᴰ,Kenyan Drake,13.5
Big Maliggy Style,Todd Gurley II,12.7
Dumpster Juice,Saquon Barkley,9.6
INTERGALACTIC SEX-MEN ᴿᴰ,Joe Mixon,5.6
RIGGED PLAYOFFS!!,Leonard Fournette,2.4
Attorney Generals,Aaron Jones,43.6
Inhumane Texan Koch’n,Alvin Kamara,33.9
Landslide lets  Russell Cook ,Christian McCaffrey,22.8
Thigpen's Awakening ᴿᴰ,Ezekiel Elliott,19.2
The Brussell Wilson Sprouts,Chris Carson,18.3
RIGGED PLAYOFFS!!,Jonathan Taylor,18.0
Tub Girl's Tub Scrubbers,Dalvin Cook,16.1
 JNCO JEAN GENIE ,Melvin Gordon III,15.4
INTERGALACTIC SEX-MEN ᴿᴰ,Joe Mixon,10.6
Sausage Brainᴿᴰ,Kenyan Drake,10.5
Big Maliggy Style,Todd Gurley II,6.1
Dumpster Juice,Saquon Barkley,2.8
Inhumane Texan Koch’n,Alvin Kamara,38.2
Tub Girl's Tub Scrubbers,Dalvin Cook,24.9
Landslide lets  Russell Cook ,Nick Chubb,23.5
Attorney Generals,Aaron Jones,15.6
Thigpen's Awakening ᴿᴰ,Ezekiel Elliott,14.8
Big Maliggy Style,Todd Gurley II,14.7
Dumpster Juice,David Johnson,11.6
The Brussell Wilson Sprouts,Chris Carson,9.1
Sausage Brainᴿᴰ,Kenyan Drake,8.4
INTERGALACTIC SEX-MEN ᴿᴰ,Joe Mixon,7.5
 JNCO JEAN GENIE ,Melvin Gordon III,5.8
RIGGED PLAYOFFS!!,Leonard Fournette,3.2
INTERGALACTIC SEX-MEN ᴿᴰ,Joe Mixon,39.1
Tub Girl's Tub Scrubbers,Dalvin Cook,27.6
The Brussell Wilson Sprouts,Chris Carson,23.5
Attorney Generals,Aaron Jones,19.6
 JNCO JEAN GENIE ,Mike Davis,19.6
Inhumane Texan Koch’n,Alvin Kamara,19.4
Big Maliggy Style,Todd Gurley II,18.8
Thigpen's Awakening ᴿᴰ,Ezekiel Elliott,16.5
Dumpster Juice,David Johnson,10.2
RIGGED PLAYOFFS!!,Jonathan Taylor,8.4
Landslide lets  Russell Cook ,Nick Chubb,4.3
Sausage Brainᴿᴰ,Kenyan Drake,3.5
Big Maliggy Style,Todd Gurley II,23.0
Thigpen's Awakening ᴿᴰ,Ezekiel Elliott,23.0
Attorney Generals,Darrell Henderson Jr.,20.3
Tub Girl's Tub Scrubbers,Dalvin Cook,17.4
The Brussell Wilson Sprouts,Chris Carson,16.9
Inhumane Texan Koch’n,Alvin Kamara,15.9
RIGGED PLAYOFFS!!,Jonathan Taylor,14.4
Sausage Brainᴿᴰ,Kenyan Drake,12.7
INTERGALACTIC SEX-MEN ᴿᴰ,Joe Mixon,12.4
Dumpster Juice,David Johnson,11.3
Landslide lets  Russell Cook ,James Robinson,7.5
 JNCO JEAN GENIE ,Mark Ingram II,5.7
Sausage Brainᴿᴰ,Kenyan Drake,28.4
Inhumane Texan Koch’n,Clyde Edwards-Helaire,18.9
The Brussell Wilson Sprouts,James Conner,16.7
INTERGALACTIC SEX-MEN ᴿᴰ,Joe Mixon,13.9
RIGGED PLAYOFFS!!,Jonathan Taylor,13.5
Dumpster Juice,David Johnson,13.4
Landslide lets  Russell Cook ,James Robinson,13.3
Attorney Generals,Aaron Jones,11.6
Big Maliggy Style,Todd Gurley II,8.2
Thigpen's Awakening ᴿᴰ,Ezekiel Elliott,8.0
Tub Girl's Tub Scrubbers,Alexander Mattison,3.5
 JNCO JEAN GENIE ,Mark Ingram II,2.0
Landslide lets  Russell Cook ,James Robinson,29.7
Big Maliggy Style,Todd Gurley II,21.2
Inhumane Texan Koch’n,Alvin Kamara,18.8
Dumpster Juice,David Johnson,14.4
Sausage Brainᴿᴰ,D'Andre Swift,12.8
 JNCO JEAN GENIE ,Melvin Gordon III,11.0
RIGGED PLAYOFFS!!,Ronald Jones II,10.1
Attorney Generals,Darrell Henderson Jr.,8.6
Tub Girl's Tub Scrubbers,Latavius Murray,6.1
Thigpen's Awakening ᴿᴰ,Ezekiel Elliott,5.6
The Brussell Wilson Sprouts,Chris Carson,4.6
INTERGALACTIC SEX-MEN ᴿᴰ,Jerick McKinnon,-0.1
Tub Girl's Tub Scrubbers,Dalvin Cook,47.6
Inhumane Texan Koch’n,Alvin Kamara,20.8
The Brussell Wilson Sprouts,James Conner,13.5
INTERGALACTIC SEX-MEN ᴿᴰ,J.K. Dobbins,12.6
Big Maliggy Style,Todd Gurley II,10.6
 JNCO JEAN GENIE ,Mike Davis,8.2
Thigpen's Awakening ᴿᴰ,Ezekiel Elliott,7.8
Landslide lets  Russell Cook ,Malcolm Brown,6.7
Attorney Generals,Darrell Henderson Jr.,6.3
Dumpster Juice,James White,4.5
RIGGED PLAYOFFS!!,Jonathan Taylor,4.1
Sausage Brainᴿᴰ,D'Andre Swift,3.8
Tub Girl's Tub Scrubbers,Dalvin Cook,38.2
Landslide lets  Russell Cook ,Christian McCaffrey,32.1
Inhumane Texan Koch’n,Alvin Kamara,13.4
Sausage Brainᴿᴰ,D'Andre Swift,11.2
Thigpen's Awakening ᴿᴰ,Chase Edmonds,10.3
RIGGED PLAYOFFS!!,Leonard Fournette,7.1
Big Maliggy Style,Devin Singletary,4.9
INTERGALACTIC SEX-MEN ᴿᴰ,J.K. Dobbins,4.5
 JNCO JEAN GENIE ,Melvin Gordon III,3.2
The Brussell Wilson Sprouts,James Conner,3.0
Dumpster Juice,David Johnson,1.6
Attorney Generals,Justin Jackson,0.0
Inhumane Texan Koch’n,Alvin Kamara,31.3
Landslide lets  Russell Cook ,Nick Chubb,18.6
Thigpen's Awakening ᴿᴰ,Kareem Hunt,14.7
Tub Girl's Tub Scrubbers,Dalvin Cook,13.2
INTERGALACTIC SEX-MEN ᴿᴰ,Miles Sanders,12.5
Attorney Generals,Aaron Jones,12.0
Dumpster Juice,Derrick Henry,11.4
Sausage Brainᴿᴰ,Kenyan Drake,9.4
 JNCO JEAN GENIE ,Mike Davis,6.4
The Brussell Wilson Sprouts,James Conner,5.8
RIGGED PLAYOFFS!!,Leonard Fournette,4.0
Big Maliggy Style,Devin Singletary,1.5
